comparisonId,type,status,mySiteQuestionIds,referenceQuestionIds,questionSimilarity,optionSimilarity,answerMatches,imageMatches,proposedPart,partConfidence,reason,manualReviewRequired
choice-00028,choice,EXACT_MATCH,part_①-28,part_①-28,1.0,1.0,True,True,part_①,high,正規化後コンテンツハッシュが完全一致,False
choice-00029,choice,EXACT_MATCH,part_①-29,part_①-29,1.0,1.0,True,True,part_①,high,正規化後コンテンツハッシュが完全一致,False
choice-00030,choice,EXACT_MATCH,part_①-30,part_①-30,1.0,1.0,True,True,part_①,high,正規化後コンテンツハッシュが完全一致,False
choice-00031,choice,EXACT_MATCH,part_①-31,part_①-31,1.0,1.0,True,True,part_①,high,正規化後コンテンツハッシュが完全一致,False
choice-00032,choice,EXACT_MATCH,part_①-32,part_①-32,1.0,1.0,True,True,part_①,high,正規化後コンテンツハッシュが完全一致,False
choice-00033,choice,EXACT_MATCH,part_①-33,part_①-33,1.0,1.0,True,True,part_①,high,正規化後コンテンツハッシュが完全一致,False
choice-00034,choice,EXACT_MATCH,part_①-34,part_①-34,1.0,1.0,True,True,part_①,high,正規化後コンテンツハッシュが完全一致,False
choice-00035,choice,EXACT_MATCH,part_①-35,part_①-35,1.0,1.0,True,True,part_①,high,正規化後コンテンツハッシュが完全一致,False
choice-00036,choice,EXACT_MATCH,part_①-36,part_①-36,1.0,1.0,True,True,part_①,high,正規化後コンテンツハッシュが完全一致,False
choice-00037,choice,EXACT_MATCH,part_①-37,part_①-37,1.0,1.0,True,True,part_①,high,正規化後コンテンツハッシュが完全一致,False
choice-00038,choice,EXACT_MATCH,part_①-38,part_①-38,1.0,1.0,True,True,part_①,high,正規化後コンテンツハッシュが完全一致,False
choice-00039,choice,EXACT_MATCH,part_①-39,part_①-39,1.0,1.0,True,True,part_①,high,正規化後コンテンツハッシュが完全一致,False
choice-00040,choice,EXACT_MATCH,part_①-40,part_①-40,1.0,1.0,True,True,part_①,high,正規化後コンテンツハッシュが完全一致,False
choice-00041,choice,EXACT_MATCH,part_①-41,part_①-41,1.0,1.0,True,True,part_①,high,正規化後コンテンツハッシュが完全一致,False
choice-00042,choice,EXACT_MATCH,part_①-42,part_①-42,1.0,1.0,True,True,part_①,high,正規化後コンテンツハッシュが完全一致,False
choice-00043,choice,EXACT_MATCH,part_①-43,part_①-43,1.0,1.0,True,True,part_①,high,正規化後コンテンツハッシュが完全一致,False
choice-00044,choice,EXACT_MATCH,part_①-44,part_①-44,1.0,1.0,True,True,part_①,high,正規化後コンテンツハッシュが完全一致,False
choice-00045,choice,EXACT_MATCH,part_①-45,part_①-45,1.0,1.0,True,True,part_①,high,正規化後コンテンツハッシュが完全一致,False
choice-00046,choice,EXACT_MATCH,part_①-46,part_①-46,1.0,1.0,True,True,part_①,high,正規化後コンテンツハッシュが完全一致,False
choice-00047,choice,EXACT_MATCH,part_①-47,part_①-47,1.0,1.0,True,True,part_①,high,正規化後コンテンツハッシュが完全一致,False
choice-00048,choice,EXACT_MATCH,part_①-48,part_①-48,1.0,1.0,True,True,part_①,high,正規化後コンテンツハッシュが完全一致,False
choice-00049,choice,EXACT_MATCH,part_①-49,part_①-49,1.0,1.0,True,True,part_①,high,正規化後コンテンツハッシュが完全一致,False
choice-00050,choice,EXACT_MATCH,part_①-50,part_①-50,1.0,1.0,True,True,part_①,high,正規化後コンテンツハッシュが完全一致,False
choice-00051,choice,EXACT_MATCH,part_①-51,part_①-51,1.0,1.0,True,True,part_①,high,正規化後コンテンツハッシュが完全一致,False
choice-00052,choice,EXACT_MATCH,part_①-52,part_①-52,1.0,1.0,True,True,part_①,high,正規化後コンテンツハッシュが完全一致,False
choice-00053,choice,EXACT_MATCH,part_①-53,part_①-53,1.0,1.0,True,True,part_①,high,正規化後コンテンツハッシュが完全一致,False
choice-00054,choice,EXACT_MATCH,part_①-54,part_①-54,1.0,1.0,True,True,part_①,high,正規化後コンテンツハッシュが完全一致,False
choice-00055,choice,EXACT_MATCH,part_①-55,part_①-55,1.0,1.0,True,True,part_①,high,正規化後コンテンツハッシュが完全一致,False
choice-00056,choice,EXACT_MATCH,part_①-56,part_①-56,1.0,1.0,True,True,part_①,high,正規化後コンテンツハッシュが完全一致,False
choice-00057,choice,EXACT_MATCH,part_①-57,part_①-57,1.0,1.0,True,True,part_①,high,正規化後コンテンツハッシュが完全一致,False
choice-00058,choice,EXACT_MATCH,part_①-58,part_①-58,1.0,1.0,True,True,part_①,high,正規化後コンテンツハッシュが完全一致,False
choice-00059,choice,EXACT_MATCH,part_①-59,part_①-59,1.0,1.0,True,True,part_①,high,正規化後コンテンツハッシュが完全一致,False
choice-00060,choice,EXACT_MATCH,part_①-60,part_①-60,1.0,1.0,True,True,part_①,high,正規化後コンテンツハッシュが完全一致,False
choice-00061,choice,EXACT_MATCH,part_①-61,part_①-61,1.0,1.0,True,True,part_①,high,正規化後コンテンツハッシュが完全一致,False
choice-00062,choice,EXACT_MATCH,part_①-62,part_①-62,1.0,1.0,True,True,part_①,high,正規化後コンテンツハッシュが完全一致,False
choice-00063,choice,EXACT_MATCH,part_①-63,part_①-63,1.0,1.0,True,True,part_①,high,正規化後コンテンツハッシュが完全一致,False
choice-00064,choice,EXACT_MATCH,part_①-64,part_①-64,1.0,1.0,True,True,part_①,high,正規化後コンテンツハッシュが完全一致,False
choice-00065,choice,EXACT_MATCH,part_①-65,part_①-65,1.0,1.0,True,True,part_①,high,正規化後コンテンツハッシュが完全一致,False
choice-00066,choice,EXACT_MATCH,part_①-66,part_①-66,1.0,1.0,True,True,part_①,high,正規化後コンテンツハッシュが完全一致,False
choice-00067,choice,EXACT_MATCH,part_①-67,part_①-67,1.0,1.0,True,True,part_①,high,正規化後コンテンツハッシュが完全一致,False
choice-00068,choice,EXACT_MATCH,part_①-68,part_①-68,1.0,1.0,True,True,part_①,high,正規化後コンテンツハッシュが完全一致,False
choice-00069,choice,EXACT_MATCH,part_①-69,part_①-69,1.0,1.0,True,True,part_①,high,正規化後コンテンツハッシュが完全一致,False
choice-00070,choice,EXACT_MATCH,part_①-70,part_①-70,1.0,1.0,True,True,part_①,high,正規化後コンテンツハッシュが完全一致,False
choice-00071,choice,EXACT_MATCH,part_②-1,part_②-1,1.0,1.0,True,True,part_②,high,正規化後コンテンツハッシュが完全一致,False
choice-00072,choice,EXACT_MATCH,part_②-2,part_②-2,1.0,1.0,True,True,part_②,high,正規化後コンテンツハッシュが完全一致,False
choice-00073,choice,EXACT_MATCH,part_②-3,part_②-3,1.0,1.0,True,True,part_②,high,正規化後コンテンツハッシュが完全一致,False
choice-00074,choice,EXACT_MATCH,part_②-4,part_②-4,1.0,1.0,True,True,part_②,high,正規化後コンテンツハッシュが完全一致,False
choice-00075,choice,EXACT_MATCH,part_②-5,part_②-5,1.0,1.0,True,True,part_②,high,正規化後コンテンツハッシュが完全一致,False
choice-00076,choice,EXACT_MATCH,part_②-6,part_②-6,1.0,1.0,True,True,part_②,high,正規化後コンテンツハッシュが完全一致,False
choice-00077,choice,EXACT_MATCH,part_②-7,part_②-7,1.0,1.0,True,True,part_②,high,正規化後コンテンツハッシュが完全一致,False
choice-00078,choice,EXACT_MATCH,part_②-8,part_②-8,1.0,1.0,True,True,part_②,high,正規化後コンテンツハッシュが完全一致,False
choice-00079,choice,EXACT_MATCH,part_②-9,part_②-9,1.0,1.0,True,True,part_②,high,正規化後コンテンツハッシュが完全一致,False
choice-00080,choice,EXACT_MATCH,part_②-10,part_②-10,1.0,1.0,True,True,part_②,high,正規化後コンテンツハッシュが完全一致,False
choice-00081,choice,EXACT_MATCH,part_②-11,part_②-11,1.0,1.0,True,True,part_②,high,正規化後コンテンツハッシュが完全一致,False
choice-00082,choice,EXACT_MATCH,part_②-12,part_②-12,1.0,1.0,True,True,part_②,high,正規化後コンテンツハッシュが完全一致,False
choice-00083,choice,EXACT_MATCH,part_②-13,part_②-13,1.0,1.0,True,True,part_②,high,正規化後コンテンツハッシュが完全一致,False
choice-00084,choice,EXACT_MATCH,part_②-14,part_②-14,1.0,1.0,True,True,part_②,high,正規化後コンテンツハッシュが完全一致,False
choice-00085,choice,EXACT_MATCH,part_②-15,part_②-15,1.0,1.0,True,True,part_②,high,正規化後コンテンツハッシュが完全一致,False
choice-00086,choice,EXACT_MATCH,part_②-16,part_②-16,1.0,1.0,True,True,part_②,high,正規化後コンテンツハッシュが完全一致,False
choice-00087,choice,EXACT_MATCH,part_②-17,part_②-17,1.0,1.0,True,True,part_②,high,正規化後コンテンツハッシュが完全一致,False
choice-00088,choice,EXACT_MATCH,part_②-18,part_②-18,1.0,1.0,True,True,part_②,high,正規化後コンテンツハッシュが完全一致,False
choice-00089,choice,EXACT_MATCH,part_②-19,part_②-19,1.0,1.0,True,True,part_②,high,正規化後コンテンツハッシュが完全一致,False
choice-00090,choice,EXACT_MATCH,part_②-20,part_②-20,1.0,1.0,True,True,part_②,high,正規化後コンテンツハッシュが完全一致,False
choice-00091,choice,EXACT_MATCH,part_②-21,part_②-21,1.0,1.0,True,True,part_②,high,正規化後コンテンツハッシュが完全一致,False
choice-00092,choice,EXACT_MATCH,part_②-22,part_②-22,1.0,1.0,True,True,part_②,high,正規化後コンテンツハッシュが完全一致,False
choice-00093,choice,EXACT_MATCH,part_②-23,part_②-23,1.0,1.0,True,True,part_②,high,正規化後コンテンツハッシュが完全一致,False
choice-00094,choice,EXACT_MATCH,part_②-24,part_②-24,1.0,1.0,True,True,part_②,high,正規化後コンテンツハッシュが完全一致,False
choice-00095,choice,EXACT_MATCH,part_②-25,part_②-25,1.0,1.0,True,True,part_②,high,正規化後コンテンツハッシュが完全一致,False
choice-00096,choice,EXACT_MATCH,part_②-26,part_②-26,1.0,1.0,True,True,part_②,high,正規化後コンテンツハッシュが完全一致,False
choice-00097,choice,EXACT_MATCH,part_②-27,part_②-27,1.0,1.0,True,True,part_②,high,正規化後コンテンツハッシュが完全一致,False
choice-00098,choice,EXACT_MATCH,part_②-28,part_②-28,1.0,1.0,True,True,part_②,high,正規化後コンテンツハッシュが完全一致,False
choice-00099,choice,EXACT_MATCH,part_②-29,part_②-29,1.0,1.0,True,True,part_②,high,正規化後コンテンツハッシュが完全一致,False
choice-00100,choice,EXACT_MATCH,part_②-30,part_②-30,1.0,1.0,True,True,part_②,high,正規化後コンテンツハッシュが完全一致,False
choice-00101,choice,EXACT_MATCH,part_②-31,part_②-31,1.0,1.0,True,True,part_②,high,正規化後コンテンツハッシュが完全一致,False
choice-00102,choice,EXACT_MATCH,part_②-32,part_②-32,1.0,1.0,True,True,part_②,high,正規化後コンテンツハッシュが完全一致,False
choice-00103,choice,EXACT_MATCH,part_②-33,part_②-33,1.0,1.0,True,True,part_②,high,正規化後コンテンツハッシュが完全一致,False
choice-00104,choice,EXACT_MATCH,part_②-34,part_②-34,1.0,1.0,True,True,part_②,high,正規化後コンテンツハッシュが完全一致,False
choice-00105,choice,EXACT_MATCH,part_②-35,part_②-35,1.0,1.0,True,True,part_②,high,正規化後コンテンツハッシュが完全一致,False
choice-00106,choice,EXACT_MATCH,part_②-36,part_②-36,1.0,1.0,True,True,part_②,high,正規化後コンテンツハッシュが完全一致,False
choice-00107,choice,EXACT_MATCH,part_②-37,part_②-37,1.0,1.0,True,True,part_②,high,正規化後コンテンツハッシュが完全一致,False
choice-00108,choice,EXACT_MATCH,part_②-38,part_②-38,1.0,1.0,True,True,part_②,high,正規化後コンテンツハッシュが完全一致,False
choice-00109,choice,EXACT_MATCH,part_②-39,part_②-39,1.0,1.0,True,True,part_②,high,正規化後コンテンツハッシュが完全一致,False
choice-00110,choice,EXACT_MATCH,part_②-40,part_②-40,1.0,1.0,True,True,part_②,high,正規化後コンテンツハッシュが完全一致,False
choice-00111,choice,EXACT_MATCH,part_②-41,part_②-41,1.0,1.0,True,True,part_②,high,正規化後コンテンツハッシュが完全一致,False
choice-00112,choice,EXACT_MATCH,part_②-42,part_②-42,1.0,1.0,True,True,part_②,high,正規化後コンテンツハッシュが完全一致,False
choice-00113,choice,EXACT_MATCH,part_②-43,part_②-43,1.0,1.0,True,True,part_②,high,正規化後コンテンツハッシュが完全一致,False
choice-00114,choice,EXACT_MATCH,part_②-44,part_②-44,1.0,1.0,True,True,part_②,high,正規化後コンテンツハッシュが完全一致,False
choice-00115,choice,EXACT_MATCH,part_②-45,part_②-45,1.0,1.0,True,True,part_②,high,正規化後コンテンツハッシュが完全一致,False
choice-00116,choice,EXACT_MATCH,part_②-46,part_②-46,1.0,1.0,True,True,part_②,high,正規化後コンテンツハッシュが完全一致,False
choice-00117,choice,EXACT_MATCH,part_②-47,part_②-47,1.0,1.0,True,True,part_②,high,正規化後コンテンツハッシュが完全一致,False
choice-00118,choice,EXACT_MATCH,part_②-48,part_②-48,1.0,1.0,True,True,part_②,high,正規化後コンテンツハッシュが完全一致,False
choice-00119,choice,EXACT_MATCH,part_②-49,part_②-49,1.0,1.0,True,True,part_②,high,正規化後コンテンツハッシュが完全一致,False
choice-00120,choice,EXACT_MATCH,part_②-50,part_②-50,1.0,1.0,True,True,part_②,high,正規化後コンテンツハッシュが完全一致,False
choice-00121,choice,EXACT_MATCH,part_②-51,part_②-51,1.0,1.0,True,True,part_②,high,正規化後コンテンツハッシュが完全一致,False
choice-00122,choice,EXACT_MATCH,part_②-52,part_②-52,1.0,1.0,True,True,part_②,high,正規化後コンテンツハッシュが完全一致,False
choice-00123,choice,EXACT_MATCH,part_②-53,part_②-53,1.0,1.0,True,True,part_②,high,正規化後コンテンツハッシュが完全一致,False
choice-00124,choice,EXACT_MATCH,part_②-54,part_②-54,1.0,1.0,True,True,part_②,high,正規化後コンテンツハッシュが完全一致,False
choice-00125,choice,EXACT_MATCH,part_②-55,part_②-55,1.0,1.0,True,True,part_②,high,正規化後コンテンツハッシュが完全一致,False
choice-00126,choice,EXACT_MATCH,part_②-56,part_②-56,1.0,1.0,True,True,part_②,high,正規化後コンテンツハッシュが完全一致,False
choice-00127,choice,EXACT_MATCH,part_②-57,part_②-57,1.0,1.0,True,True,part_②,high,正規化後コンテンツハッシュが完全一致,False
choice-00128,choice,EXACT_MATCH,part_②-58,part_②-58,1.0,1.0,True,True,part_②,high,正規化後コンテンツハッシュが完全一致,False
choice-00129,choice,EXACT_MATCH,part_②-59,part_②-59,1.0,1.0,True,True,part_②,high,正規化後コンテンツハッシュが完全一致,False
choice-00130,choice,EXACT_MATCH,part_②-60,part_②-60,1.0,1.0,True,True,part_②,high,正規化後コンテンツハッシュが完全一致,False
choice-00131,choice,EXACT_MATCH,part_②-61,part_②-61,1.0,1.0,True,True,part_②,high,正規化後コンテンツハッシュが完全一致,False
choice-00132,choice,EXACT_MATCH,part_②-62,part_②-62,1.0,1.0,True,True,part_②,high,正規化後コンテンツハッシュが完全一致,False
choice-00133,choice,EXACT_MATCH,part_②-63,part_②-63,1.0,1.0,True,True,part_②,high,正規化後コンテンツハッシュが完全一致,False
choice-00134,choice,EXACT_MATCH,part_②-64,part_②-64,1.0,1.0,True,True,part_②,high,正規化後コンテンツハッシュが完全一致,False
choice-00135,choice,EXACT_MATCH,part_②-65,part_②-65,1.0,1.0,True,True,part_②,high,正規化後コンテンツハッシュが完全一致,False
choice-00136,choice,EXACT_MATCH,part_②-66,part_②-66,1.0,1.0,True,True,part_②,high,正規化後コンテンツハッシュが完全一致,False
choice-00137,choice,EXACT_MATCH,part_②-67,part_②-67,1.0,1.0,True,True,part_②,high,正規化後コンテンツハッシュが完全一致,False
choice-00138,choice,EXACT_MATCH,part_②-68,part_②-68,1.0,1.0,True,True,part_②,high,正規化後コンテンツハッシュが完全一致,False
choice-00139,choice,EXACT_MATCH,part_②-69,part_②-69,1.0,1.0,True,True,part_②,high,正規化後コンテンツハッシュが完全一致,False
choice-00140,choice,EXACT_MATCH,part_②-70,part_②-70,1.0,1.0,True,True,part_②,high,正規化後コンテンツハッシュが完全一致,False
choice-00141,choice,EXACT_MATCH,part_③-1,part_③-1,1.0,1.0,True,True,part_③,high,正規化後コンテンツハッシュが完全一致,False
choice-00142,choice,EXACT_MATCH,part_③-2,part_③-2,1.0,1.0,True,True,part_③,high,正規化後コンテンツハッシュが完全一致,False
choice-00143,choice,EXACT_MATCH,part_③-3,part_③-3,1.0,1.0,True,True,part_③,high,正規化後コンテンツハッシュが完全一致,False
choice-00144,choice,EXACT_MATCH,part_③-4,part_③-4,1.0,1.0,True,True,part_③,high,正規化後コンテンツハッシュが完全一致,False
choice-00145,choice,EXACT_MATCH,part_③-5,part_③-5,1.0,1.0,True,True,part_③,high,正規化後コンテンツハッシュが完全一致,False
choice-00146,choice,EXACT_MATCH,part_③-6,part_③-6,1.0,1.0,True,True,part_③,high,正規化後コンテンツハッシュが完全一致,False
choice-00147,choice,EXACT_MATCH,part_③-7,part_③-7,1.0,1.0,True,True,part_③,high,正規化後コンテンツハッシュが完全一致,False
choice-00148,choice,EXACT_MATCH,part_③-8,part_③-8,1.0,1.0,True,True,part_③,high,正規化後コンテンツハッシュが完全一致,False
choice-00149,choice,EXACT_MATCH,part_③-9,part_③-9,1.0,1.0,True,True,part_③,high,正規化後コンテンツハッシュが完全一致,False
choice-00150,choice,EXACT_MATCH,part_③-10,part_③-10,1.0,1.0,True,True,part_③,high,正規化後コンテンツハッシュが完全一致,False
choice-00151,choice,EXACT_MATCH,part_③-11,part_③-11,1.0,1.0,True,True,part_③,high,正規化後コンテンツハッシュが完全一致,False
choice-00152,choice,EXACT_MATCH,part_③-12,part_③-12,1.0,1.0,True,True,part_③,high,正規化後コンテンツハッシュが完全一致,False
choice-00153,choice,EXACT_MATCH,part_③-13,part_③-13,1.0,1.0,True,True,part_③,high,正規化後コンテンツハッシュが完全一致,False
choice-00154,choice,EXACT_MATCH,part_③-14,part_③-14,1.0,1.0,True,True,part_③,high,正規化後コンテンツハッシュが完全一致,False
choice-00155,choice,EXACT_MATCH,part_③-15,part_③-15,1.0,1.0,True,True,part_③,high,正規化後コンテンツハッシュが完全一致,False
choice-00156,choice,EXACT_MATCH,part_③-16,part_③-16,1.0,1.0,True,True,part_③,high,正規化後コンテンツハッシュが完全一致,False
choice-00157,choice,EXACT_MATCH,part_③-17,part_③-17,1.0,1.0,True,True,part_③,high,正規化後コンテンツハッシュが完全一致,False
choice-00158,choice,EXACT_MATCH,part_③-18,part_③-18,1.0,1.0,True,True,part_③,high,正規化後コンテンツハッシュが完全一致,False
choice-00159,choice,EXACT_MATCH,part_③-19,part_③-19,1.0,1.0,True,True,part_③,high,正規化後コンテンツハッシュが完全一致,False
choice-00160,choice,EXACT_MATCH,part_③-20,part_③-20,1.0,1.0,True,True,part_③,high,正規化後コンテンツハッシュが完全一致,False
choice-00161,choice,EXACT_MATCH,part_③-21,part_③-21,1.0,1.0,True,True,part_③,high,正規化後コンテンツハッシュが完全一致,False
choice-00162,choice,EXACT_MATCH,part_③-22,part_③-22,1.0,1.0,True,True,part_③,high,正規化後コンテンツハッシュが完全一致,False
choice-00163,choice,EXACT_MATCH,part_③-23,part_③-23,1.0,1.0,True,True,part_③,high,正規化後コンテンツハッシュが完全一致,False
choice-00164,choice,EXACT_MATCH,part_③-24,part_③-24,1.0,1.0,True,True,part_③,high,正規化後コンテンツハッシュが完全一致,False
choice-00165,choice,EXACT_MATCH,part_③-25,part_③-25,1.0,1.0,True,True,part_③,high,正規化後コンテンツハッシュが完全一致,False
choice-00166,choice,EXACT_MATCH,part_③-26,part_③-26,1.0,1.0,True,True,part_③,high,正規化後コンテンツハッシュが完全一致,False
choice-00167,choice,EXACT_MATCH,part_③-27,part_③-27,1.0,1.0,True,True,part_③,high,正規化後コンテンツハッシュが完全一致,False
choice-00168,choice,EXACT_MATCH,part_③-28,part_③-28,1.0,1.0,True,True,part_③,high,正規化後コンテンツハッシュが完全一致,False
choice-00169,choice,EXACT_MATCH,part_③-29,part_③-29,1.0,1.0,True,True,part_③,high,正規化後コンテンツハッシュが完全一致,False
choice-00170,choice,EXACT_MATCH,part_③-30,part_③-30,1.0,1.0,True,True,part_③,high,正規化後コンテンツハッシュが完全一致,False
choice-00171,choice,EXACT_MATCH,part_③-31,part_③-31,1.0,1.0,True,True,part_③,high,正規化後コンテンツハッシュが完全一致,False
choice-00172,choice,EXACT_MATCH,part_③-32,part_③-32,1.0,1.0,True,True,part_③,high,正規化後コンテンツハッシュが完全一致,False
choice-00173,choice,EXACT_MATCH,part_③-33,part_③-33,1.0,1.0,True,True,part_③,high,正規化後コンテンツハッシュが完全一致,False
choice-00174,choice,EXACT_MATCH,part_③-34,part_③-34,1.0,1.0,True,True,part_③,high,正規化後コンテンツハッシュが完全一致,False
choice-00175,choice,EXACT_MATCH,part_③-35,part_③-35,1.0,1.0,True,True,part_③,high,正規化後コンテンツハッシュが完全一致,False
choice-00176,choice,EXACT_MATCH,part_③-36,part_③-36,1.0,1.0,True,True,part_③,high,正規化後コンテンツハッシュが完全一致,False
choice-00177,choice,EXACT_MATCH,part_③-37,part_③-37,1.0,1.0,True,True,part_③,high,正規化後コンテンツハッシュが完全一致,False
choice-00178,choice,EXACT_MATCH,part_③-38,part_③-38,1.0,1.0,True,True,part_③,high,正規化後コンテンツハッシュが完全一致,False
choice-00179,choice,EXACT_MATCH,part_③-39,part_③-39,1.0,1.0,True,True,part_③,high,正規化後コンテンツハッシュが完全一致,False
choice-00180,choice,EXACT_MATCH,part_③-40,part_③-40,1.0,1.0,True,True,part_③,high,正規化後コンテンツハッシュが完全一致,False
choice-00181,choice,EXACT_MATCH,part_③-41,part_③-41,1.0,1.0,True,True,part_③,high,正規化後コンテンツハッシュが完全一致,False
choice-00182,choice,EXACT_MATCH,part_③-42,part_③-42,1.0,1.0,True,True,part_③,high,正規化後コンテンツハッシュが完全一致,False
choice-00183,choice,EXACT_MATCH,part_③-43,part_③-43,1.0,1.0,True,True,part_③,high,正規化後コンテンツハッシュが完全一致,False
choice-00184,choice,EXACT_MATCH,part_③-44,part_③-44,1.0,1.0,True,True,part_③,high,正規化後コンテンツハッシュが完全一致,False
choice-00185,choice,EXACT_MATCH,part_③-45,part_③-45,1.0,1.0,True,True,part_③,high,正規化後コンテンツハッシュが完全一致,False
choice-00186,choice,EXACT_MATCH,part_③-46,part_③-46,1.0,1.0,True,True,part_③,high,正規化後コンテンツハッシュが完全一致,False
choice-00187,choice,EXACT_MATCH,part_③-47,part_③-47,1.0,1.0,True,True,part_③,high,正規化後コンテンツハッシュが完全一致,False
choice-00188,choice,EXACT_MATCH,part_③-48,part_③-48,1.0,1.0,True,True,part_③,high,正規化後コンテンツハッシュが完全一致,False
choice-00189,choice,EXACT_MATCH,part_③-49,part_③-49,1.0,1.0,True,True,part_③,high,正規化後コンテンツハッシュが完全一致,False
choice-00190,choice,EXACT_MATCH,part_③-50,part_③-50,1.0,1.0,True,True,part_③,high,正規化後コンテンツハッシュが完全一致,False
choice-00191,choice,EXACT_MATCH,part_③-51,part_③-51,1.0,1.0,True,True,part_③,high,正規化後コンテンツハッシュが完全一致,False
choice-00192,choice,EXACT_MATCH,part_③-52,part_③-52,1.0,1.0,True,True,part_③,high,正規化後コンテンツハッシュが完全一致,False
choice-00193,choice,EXACT_MATCH,part_③-53,part_③-53,1.0,1.0,True,True,part_③,high,正規化後コンテンツハッシュが完全一致,False
choice-00194,choice,EXACT_MATCH,part_③-54,part_③-54,1.0,1.0,True,True,part_③,high,正規化後コンテンツハッシュが完全一致,False
choice-00195,choice,EXACT_MATCH,part_③-55,part_③-55,1.0,1.0,True,True,part_③,high,正規化後コンテンツハッシュが完全一致,False
choice-00196,choice,EXACT_MATCH,part_③-56,part_③-56,1.0,1.0,True,True,part_③,high,正規化後コンテンツハッシュが完全一致,False
choice-00197,choice,EXACT_MATCH,part_③-57,part_③-57,1.0,1.0,True,True,part_③,high,正規化後コンテンツハッシュが完全一致,False
